attrs,blueprint,caption,content,enabled,filename,href,id,image,level,main_content,marks,more_content,photo,published,rel,summary,target,text,title,type,updated_at,updated_by
,news,,,,2023-08-29.jmf-audio-in-the-house,,3ff17d84-1e0e-4213-a842-cdb7d982edea,HQS-6002-Black-34-Modifier.jpg,,,,,,,,"'Fidelis is please to present JMF Audio products from France. Come down and listen to the amazing HQS 6002 amplifier - incredible soundstage with layers of sumptuous detail and bass that has subterranean extension and power!'",,"""we have collaborated for over 30 years with such specialists, which allowed JMF Audio to obtain the bespoke components and parts, especially passive, that best suited our criteria, for serving music.\_""","'JMF Audio In The House!'",text,1693331949,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2023-10-12.hegel-closeout-sale,,e60ff23a-e2a8-4eae-8bf5-333468b8b22d,H190Front-1697132474.jpg,2,,,,,false,,"'Hegel is getting ready for new models in the coming year and as such, they are offering a fantastic deal on some of the current models to make way for the next generation of products.'",,"""\_Black""","'Hegel Closeout Sale!'",text,1697132491,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,true,2023-10-12.subwoofer-sale,,f2cc0233-cdcf-47c7-845e-2f0877d6e679,electa_gravis22529.jpg,,,,,,false,,"'Overstock sale - limited quantity of Sonus Faber Gravis I subwoofers in Walnut and Wenge finishes. Normal pricing - $995.00, sale pricing - $795.00. Great looking and sounding sub that will blend well to any small speaker and help fill a small to medium space with a tight and tuneful bass.'",,"'32 lb'","'Subwoofer Sale!'",image,1697128394,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,"'Prizes! Stay tuned for more events in the new year.'",,true,2023-12-17.msb-and-acora-end-our-year-on-a-high,,5aed9771-96db-42d9-8a78-f5568ee525bb,3-1702793872.jpg,,,,,,,,"'No, the $115,000 MSB Select DAC was not what we were giving away in our prize-draw this time, nor the $48,000, 244lbs granite-bodied SRC-2 speakers from Acora Acoustics, but guest speakers Vince Galbo and Isaac Markowitz dazzled us with stunning sound, and facilitated deep discussion on matters of music reproduction.'",,"'Thank you for celebrating the joy of music with us as we close out 2023.'","'MSB and Acora end our year on a high'",image,1702796980,87641989-b935-429e-81a7-ccf64c5d34d6
,news,,,,2024-01-16.new-sonus-faber-suprema-speakers-and-mcintosh-mc2-1kw-amplifier,'https://www.youtube.com/watch?v=zMQGDdxcx-Q',f4e43d2e-c1f4-4c37-b111-aa970a976ebd,304865d14e70d36f70861ade75610193.webp,,,,,,,null,"'A nice overview of two new reference models from Sonus Faber and McIntosh as presented from CES in Las Vegas.'",null,'https://www.youtube.com/watch?v=zMQGDdxcx-Q',null,link,1705421440,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-01-16.records-r-us,,6bfed8e0-3143-4ccd-b3b5-f7e785f1285f,419821586_440528311635781_3436570122010763623_n.jpg,,,,,,,,"'We just acquired a large batch of records - great titles in premium condition - come check them out before they are gone!'",,"'We just acquired a large batch of records - great titles in premium condition - come check them out before they are gone!'","'Records ""R"" Us'",text,1705432661,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-01-20.fidelis-audio-is-please-to-introduce-four-new-brands-to-our-product-offerings,,0b5d0e93-c59e-4906-ab1b-46d4c68b6d26,Accuphase-E-5000-Stereo-Integrated-Amplifier-image-10.webp,,,,,,,,"'Avantgarde, Accuphase, Airtight & Borresen now on display at Fidelis Audio'",,"'Borresen - a premium speaker line from Denmark, the new ""X"" series offers both incredible performance and value. Most folks that we played these for a. love the sound and b. think the speakers sell for double or more of their actual retail price. Using proprietary ribbon tweeters and an innovative venting system, the X-Series from Borresen is truly a ""giant killer"" of a speaker!'","'Fidelis Audio is pleased to introduce four new brands to our product offerings!'",text,1706020064,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-01-23.the-grimm-audio-mu2-is-tearing-it-up-with-stellar-reviews,'https://www.audiokeyreviews.com/the-reviews/grimm-audio-mu2',5bd39038-e6fc-4954-a169-58d9a6405fa6,MU2-v1.jpg,,,,,,,null,"'We are pretty impressed with the MU2 here at Fidelis. A world-class streamer, DAC, preamp and Roon core all in one box - the MU2 could be one of the best values in high-end audio currently. Check out the press -'",null,"""\_\_""",null,text,1706042014,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-02-01.the-new-stenheim-alumine-2-5-s-have-landed-at-fidelis,,6835cb55-96f8-4492-bcb7-5685726cb7ad,15_AL2_Full_Black_Low.jpg,,,,,,,,|-,,"'Full Black, Ivory or Mocca with black front and rear'","'The new Stenheim Alumine 2.5''s have landed at Fidelis!'",bold,1706825420,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-04-04.new-hrs-exr-racks-on-display,'https://avisolation.com/isolation-bases/',c4157757-00fd-4423-bd55-9055af8f44fa,IMG_8789.jpg,,,,,,,null,"'We thought is was time to freshen up the rack system in one of our sound rooms with the newest ""budget"" offering from HRS. Super-solid, pre-assembled and beautifully simple aesthetics. Stop by and have a look!'",null,"'Component spacing on the EXR is available in 4″, 6″, 8”, 10”, or 12″, as well as custom component spacing of 14″, 16″, and 18″.'",null,text,1712258487,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-05-16.speaker-demo-sale,,4ae278f3-d5e3-4930-9709-0bf45376f1f8,IMG_9016.jpg,,,,,,false,,"'Help us free up some space, clean up our inventory and get a great deal to boot!'",,"'Sonus Faber Minima Amator w/stands - was $6,800.00, now $4,760.00 (used)'","'Speaker Demo Sale!'",bold,1715871722,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-05-24.new-axxess-speakers-by-borresen-now-on-display-l3-floor-standing-and-l1-bookshelf,,12741c5d-47b1-4f69-be1e-8b1d8b407790,Axxess_L3_Black_FrontSkewed_Total_HD-min.jpg,,,,,,,,"'From the newly expanded Axxess series, we are very excited about the L-series speakers that are a perfect mate for the Forte integrated amplifier/DAC/streamer.'",,"'Come check out what trickle-down technology can bring you in outstanding price/performance. They may be the ""babies"" in the offerings by Audio Group Denmark, but their performance exceeds many other products at twice their price. '","'New Axxess Speakers by Borresen now on display - L3 floor-standing and L1 Bookshelf'",text,1716559392,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-05-24.revival-audio-speakers-are-on-their-way-to-fidelis,,a0e00adf-176e-403b-a40b-59174884e9f3,A5-Lifestyle-Solo-1-1.jpg,,,,,,,,"'We are please to announce that Fidelis will be the newest Revival Audio dealer. Elegantly traditional in looks and outstanding in sound, we think you will love these as much as we do.'",,"'One of the highlights of our recent trip to the Munich High-End Show was the demonstration we received by the French company Revival Audio. Pleasantly surprised would be an understatement about the performance and value of what we heard - superbly musical with a very well-finished, The Atalante 5 was definitely a show-stopper. Come see all three models soon to be on display!'","'Revival Audio speakers are on their way to Fidelis!'",text,1716563014,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-07-17.inventory-clearance-sale,,4d54d91e-83d4-441a-9673-071da686f539,30918-1708115105.png,,,,,,false,,"""We have a large amount of demo and used inventory (as well as a few new items) and we need to clean house to make space. We don't run these type of sales often, so it is recommended that you act fast before everything is gone!""",,"""·\_\_\_\_\_\_\_\_ Sonus Faber Sonetto II, Wenge – normally $2,500.00, sale $1,500.00""","'Inventory Clearance Sale!'",text,1723048467,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,true,2024-08-09.records-are-us,,lzmzpxp4,img_8596-1723224604.jpg,,,,,,,,"'New batches of records have arrived at Fidelis!'",,"'We have a fresh batch of records for sale - both new and used. A good selection of the Atlantic 75th anniversary re-issues which are re-mastered by some of the industries best recording engineers and pressed on high-quality vinyl at 45 RPM. Also, many used titles that are hard to find and in excellent condition. Come down and check them out before they are gone!'","'Records Are Us!'",image,1723225147,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,true,2024-09-26.our-recent-visit-to-avantgarde,,m1jhdwai,img_9674-1727366881.jpg,,,,,,,,"""A quick trip to Germany to visit the Avantgarde factory, meet the people behind the product, see some new models getting ready to introduce, hear the entire line of speakers and get some technical training - what's not to love about that experience!""",,"'Avantgarde has been making exceptional speakers for over 20 years and their newest versions have raised the bar once again! They set the standard for horn-loaded speakers and in doing so, they also challenge the best of conventional dynamic speakers in the areas where horn-loaded speakers are normally weaker. Sure, they have incredible high level dynamics and detail, but their sound is also smooth and refined with none of the typical horn ""shoutiness"" and bright upper frequencies. The resolution of low-level detail and micro-dynamics is unrivaled and when set-up properly, the speakers disappear into an incredible 3-dimensional soundstage. The build quality is superb and fit and finish is state of the art. As good as our demo speakers sound, we now have a few tips and technics to elevate their performance further still. We are excited about the new Zero Uno model as well as the entry-level Colibri and will be displaying those as soon as they are available. '","'Our recent visit to Avantgarde in Germany!'",image,1727366885,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-10-02.news-flash,,5a2eb412-9fe4-4a3b-bfbd-d85f48d0972c,learn-pre-christmas.webp,,,,,,false,,"'Pre-Holiday Season Clearance Sale Underway!'",,"'Please call or come by for recommendations and best selections. Some products are advertised on our web site, but inventory is fast changing and currently updating as time allows.  '","'*News Flash*'",bold,1727883825,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-11-14.borresen-c-series-of-speakers-have-arrived,,010f9475-8e36-4996-bc08-e74d6440dab8,c1.jpg,,,,,,,,"'Model C1 now on display, more models to follow'",,"""Borresen's newest models have arrived at Fidelis - the much anticipated C-series. We are currently showing the C1's with C3's arriving shortly. At $16,500.00 - including stands, we think these speakers set the bar for performance at their price-point and the fit-and-finish is second to none. Come on down and give them a listen!""","'Borresen C-Series of Speakers Have Arrived!'",text,1731614790,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-11-14.the-new-cambridge-audio-exa100-integrated-amplifier-and-exn100-dacstreamer-have-arrived,,eabb420e-04b2-4c35-9e3b-946a684ecfb9,cambridge-ex-series.jpg,,,,,,,,"""The long awaited replacement for Cambridge Audio's Azur series has finally materialized and we think it was worth the wait.""",,"'Premium speaker terminals'","'The new Cambridge Audio EXA100 Integrated Amplifier and EXN100 DAC/Streamer Have Arrived!'",text,1731615661,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2024-12-04.holiday-clearance-sale,,7a3e93fd-8acc-4254-84ea-6e494aa24713,learn-pre-christmas.jpg,,,,,,false,,"'The end of the year is upon us - time to clear out the old and make way for the new.'",,"'Fidelis has gone off the rails on the crazy train and is offering our best sale of the last several years to celebrate the holidays and the fast approaching 2025. We have a large assortment of demo and overstock inventory at 25%-40% off manufacturers retail pricing and a substantial inventory of pre-owned merchandise at 50%-70% off original new pricing. The sale runs for two weeks from December 9th through the 21st. Please feel free to stop by the store, explore what we have on hand, get pricing or make a reasonable offer. Everyone deserves a little something for themselves on the holidays and we think the gift of audio equipment and music is the best gift of all!'","'Holiday Clearance Sale!'",text,1733332804,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2025-02-11.the-falcon-f50-has-flown,,bbd5b5d5-9808-4bab-9b5c-4693f4229597,falcon-f-50-pair-24.11.21-new-tweeters_0051-hi-cl.jpg,,,,,,,,"'“So I suggested we do an homage to Stewart, it was something I wanted to do, the Tablette 50 was the first speaker I built at ProAc in 1996 just after I started there. It’s a classic small British loudspeaker and uses well-established design principles with a 5” woofer and ¾” tweeter.'",,"'Sold exclusively through Fidelis, we think that these are some of the most ""special"" mini-monitors that we have ever experienced. Give us a call to schedule a time to come audition!'","'The Falcon F50 Has Flown!'",bold,1739295933,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2025-05-17.mola-mola-has-swum-ashore-at-fidelis,,47b938bd-c2bc-4988-936a-7f8e92edd90c,mola_mola_studio-8.jpg,,,,,,,,"'We are please to now offer products from Mola Mola, including the vaunted Tambaqui DAC and Kula integrated amplifier. Come down and check out the spectacular sound they make!'",,"""Turning this simple insight into hardware is probably the toughest way to do audio. All simple circuits change the signal audibly, so one has to get to grips with more complicated ones that don't. We analyze every sub-circuit mathematically and look for ways to eliminate every error term. When the practical circuit measures as predicted, we listen to search for unexpected sources of coloration. These are then included into the math and the whole process repeats. After every stage has proven immaculate performance, the same is done with the whole product and so problem spots get methodically rooted out before they hide themselves and become audible but not measurable. The result is something never before heard of in high-end audio: amplifiers and converters whose output signal cannot be distinguished, by ear, from the input signal. So what does that sound like? In a few words: natural, nimble, rich and musically enthralling.""","'Mola Mola has swum ashore at Fidelis!'",text,1747498999,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2025-07-08.a-great-review-of-the-mola-mola-tambaqui-dac,'https://youtu.be/mHQmU-vDM04?si=MY4zVEZW_CVkN1oc',e5a06a27-ceaf-407f-a4fb-9fb2a48ffc53,mola_mola_tambaqui-spread-scaled-1-1080x608.jpg,,,,,,,null,"'From last year, but worth a watch for those considering this very fine DAC'",null,'https://youtu.be/mHQmU-vDM04?si=MY4zVEZW_CVkN1oc',null,link,1751981560,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2025-07-18.audio-research-is-on-its-way,,53aaf527-7a6e-46cf-9d18-9f82c19264de,d-80-1752850894.png,,,,,,,,"""The iconic brand Audio Research, under new ownership and with brand new models is our newest acquisition. We look forward to their arrival in early September and can't wait to hear what the new generation has to offer.""",,"'Over its first half-century, Audio Research has grown from a small operation in the back of Bill’s shop to a modern, self-contained factory with dedicated R&D, testing, manufacturing, quality control, and listening facilities. Manufacturing is done by hand in-house, from the ground up, in our Minnesota facility. (Contact us for a tour if you are near Minneapolis, it’s fascinating to meet the people and see the process in action.)'","'Audio Research is on its way!'",text,1752851315,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
