attrs,blueprint,content,description,description_text,filename,hide_your_price,href,id,images,level,local_only,marks,new_retail_price,original_accessories,published,rel,shipping,target,text,title,type,updated_at,updated_by,your_price
,pre_owned,,,,2025-02-06.merason-ruess-dac-black-demo,false,,1f3d9a4f-3077-4d9d-bab8-85b8a77bef5d,,,false,,5500,"'Box, Packing, Manual, Accessories'",false,,60,,"'Weight: 4.2kg, 9.3 lbs'","'Merason Ruess DAC, Black (Demo)'",text,1738875867,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,3300
,pre_owned,,,,2025-03-08.fyne-audio-vintage-12-speakers-wsupertrax-super-tweeter,false,,12ec86cf-5dc8-4c2d-818f-76cec9499e7d,,,false,,35998,"'Box, Packing, Manual, Accessories'",,,800,,"'Fyne Audio Vintage 12 Speakers w/SuperTrax Super Tweeter. Speakers are in excellent physical and functional condition with original box, packing and accessories. Excellent sounding speakers that are made from a beautiful walnut wood and have a very classic look. Speakers sell as new for $35,498.00'","'Fyne Audio Vintage 12 Speakers w/SuperTrax Super Tweeter'",bold,1752761024,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,15995
,pre_owned,,,,2025-04-01.magnepan-mg16qr,false,,b922cd71-5223-4ae7-9988-710f7e63fb3b,,,true,,1800,"'Box, Packing, Manual, Accessories'",,,,,"'Magnepan MG1.6QR in very good condition with original boxes and packing. Speakers sold as new for $1,800.00. White finish. There are a couple of small tears in the fabric (see picture). '","'Magnepan MG1.6QR'",bold,1743545142,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,800
,pre_owned,,,,2025-04-04.conrad-johnson-art-150-tubed-amplifier,false,,edd8ba30-f610-4c7f-a941-238e36c4ef07,,,false,,21000,"'Box, Packing, Manual, Accessories'",,,200,,"'ART300 73 lbs.'","'Conrad Johnson ART 150 Tubed Amplifier'",bold,1743779813,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,12600
,pre_owned,,,,2025-04-04.conrad-johnson-et6se-tubed-preamp,false,,839e1a0c-5e74-442e-8dd9-a88a47f98e8b,,,false,,6750,"'Box, Packing, Manual, Accessories'",,,100,,"'1 x 6922'","'Conrad Johnson ET6SE Tubed Preamp'",bold,1743779089,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,4050
,pre_owned,,,,2025-04-04.yg-acoustics-ascent-speakers-rosewood-finish,false,,923c8c2f-a814-4538-8475-dc39e8ff2ca6,,,false,,23000,"'Box, Packing, Manual, Accessories'",false,,500,,"'54kg each'","'YG Acoustics Ascent Speakers, Rosewood Finish'",text,1743780577,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,13800
,pre_owned,,,,2025-04-04.yg-acoustics-cairn-speakers-stands-ebony-finish,false,,93a70f2b-15ca-4f6f-975b-eaea1abcf9a7,,,false,,11900,"'Box, Packing, Manual, Accessories'",,,300,,"'12.5kg each'","'YG Acoustics Cairn Speakers & Stands, Ebony Finish'",text,1752765849,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,5950
,pre_owned,,,,2025-04-10.msb-premier-dac-wpowerbase-digital-director-black-finish-wnetwork-pro-isl-modules,false,,b7e060fd-a4c7-4b39-a701-d2a92991bd37,,,false,,31490,"'Box, Packing, Manual, Accessories'",false,,150,,"'MSB Premier DAC w/PowerBase, black finish. Units are in excellent physical and functional condition with original boxes, packing and accessories. Input cards include - Ethernet, Pro-ISL and AES/EBU modules. Units sell as new for $31,490.00. Superb sounding DAC combination.'","'MSB Premier DAC w/PowerBase, Black Finish w/Network, AES/EBU & Pro-ISL Modules'",bold,1749748235,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,12995
,pre_owned,,,,2025-04-26.cambridge-audio-cxa80-integrated-amplifier,false,,0dd69145-ba74-4f4c-a690-3ef0ef4ba745,,,true,,1099,"'Remote Control, Power Cord'",,,,,"'Cambridge Audio CXA80 Integrated Amplifier in good physical and functional condition with remote control and power cord. Unit sold as new for $1,099.00. Great unit for a starter high-end system. '","'Cambridge Audio CXA80 Integrated Amplifier'",bold,1745676333,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,495
,pre_owned,,,,2025-04-26.focal-clear-headphones,false,,1a855754-7a52-45e4-8ae9-80d8753400bc,,,false,,1500,"'Box, Packing, Manual, Accessories'",,,40,,"'Focal Clear headphones in like new condition with original box, packing and accessories. Headphones sold as new for $1,500.00'","'Focal Clear Headphones'",bold,1745677157,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,900
,pre_owned,,,,2025-04-26.harbeth-compact-7-es3-speakers-cherry-finish,false,,972d50bd-8304-4857-bce3-20c6a2daa98c,,,false,,3295,"'Box, Packing, Manual, Accessories'",false,,120,,"'Harbeth Compact 7 ES3 Speakers, Cherry Finish. Speakers are in excellent physical and functional condition with original boxes, packing and accessories. Speakers sold as new for $3,295.00. Music lovers speaker - superb for vocal reproduction and all forms of acoustic music. '","'Harbeth Compact 7 ES3 Speakers, Cherry Finish'",bold,1745677381,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1795
,pre_owned,,,,2025-04-26.jeff-rowland-102-stereo-amplifier,false,,00e6a4f2-c7f0-4ccc-a2fe-d09c341823a5,,,false,,3000,None,false,,60,,"'68.5mm(H) x 34.8cm(W) x 19cm(D)'","'Jeff Rowland 102 Stereo Amplifier'",text,1745678401,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1100
,pre_owned,,,,2025-04-26.parasound-halo-t3-tuner,false,,99a82d50-ec5b-48e6-8c19-83b904201449,,,false,,600,"'Box, Packing, Manual, Accessories'",,,50,,"'Parasound Halo T3 Tuner in good physical and functional condition with original box, packing and accessories. Unit sold as new for $600.00'","'Parasound Halo T3 Tuner'",bold,1745676436,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,250
,pre_owned,,,,2025-04-26.ps-audio-nuwave-dsd-da-processor,false,,b8c73c12-81e3-41c7-95fa-a1d1625f175a,,,false,,1299,"'Box, Packing, Manual, Accessories'",,,40,,"'8.2"" (210mm) W by 2.4"" (61mm) H by 14"" (360mm) D. Weight: 11.9 lbs (5.4kg).'","'PS Audio NuWave DSD D/A Processor'",text,1745678667,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,699
,pre_owned,,,,2025-04-26.vienna-acoustics-haydn-speakers-black-finish,false,,04f19e91-f210-4746-8d8a-97b0cc8dff98,,,true,,995,None,,,,,"'Vienna Acoustics Haydn Speakers, Black Finish. Speakers are in good functional condition, but physically have some scratches and scuffs. Speakers sold as new for $995.00 and are a very musical and high-performing speaker for the price. '","'Vienna Acoustics Haydn Speakers, Black Finish'",bold,1745678046,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,395
,pre_owned,,,,2025-04-26.wadia-di-322-dac,false,'http://www.soundstageultra.com/index.php/611',64c80722-7ed2-46ae-8684-ed630513bcd7,,,false,,3500,"'Box, Packing, Manual, Accessories'",,null,100,_blank,"'25 pounds (11.4 kg)'",null,paragraph,1745676169,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1750
,pre_owned,,,,2025-05-06.harbeth-p3-speakers,false,,9b4fd73a-63fc-4ca3-a851-2845a36ddd9a,,,false,,2990,"'Original box'",,,,,"'Harbeth P3ESR-XD speakers in natural finish. Speakers are in excellent physical and functional condition, wth no marks or blemishes, and sold as new for $2,990.00.'","'Harbeth P3 speakers'",text,1746563409,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1900
,pre_owned,,,,2025-05-07.thorens-td124dd-wortofon-spu-synergy-g-cartridge,false,,d4a10036-ebef-4b75-a47e-c943aa929380,,,false,,15428,"'Box, Packing, Manual, Accessories'",,,120,,"'Thorens TD124DD w/Ortofon SPU Synergy G Cartridge. Turntable is in excellent physical and functional condition with original box, packing and accessories. Cartridge has well under 100 hours on it and is a perfect match for the table/arm. Table and cartridge sold as new for $15,428.00'","'Thorens TD124DD w/Ortofon SPU Synergy G Cartridge'",bold,1749217223,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,7995
,pre_owned,,,,2025-05-13.gato-audio-prd-3s-preamplifierdac,false,,e1c3b035-0e2b-4fa8-a5f9-ef49d832afa0,,,false,,2895,"'Box, Packing, Manual, Accessories'",,,80,,"'Gato Audio PRD-3S stereo preamplifier/DAC. Unit is in excellent physical and functional condition with original box, packing and accessories. Unit sells as new for $2,895.00'","'Gato Audio PRD-3S Preamplifier/DAC'",bold,1747170010,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1495
,pre_owned,,,,2025-05-14.audio-analogue-aaphono,false,,7f225add-0c79-45f2-8f33-78cf89eb16e9,,,false,,2500,"'Box, Packing, Manual, Accessories'",,,60,,"'5.8 Kg'","'Audio Analogue AAPhono'",text,1747256789,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1250
,pre_owned,,,,2025-05-17.hegel-h190-integrated-amplifier-wdac-music-streamer,false,,3d29e4df-4df3-4be3-887c-7ffc57ea923b,,,false,,4000,"'Box, Packing, Manual, Accessories'",,,80,,"'Hegel H190 Integrated Amplifier w/DAC & Music Streamer. Unit is in excellent physical and functional condition with original box, packing and accessories. Unit sold as new for $4,000.00'","'Hegel H190 Integrated Amplifier w/DAC & Music Streamer'",bold,1747492394,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2495
,pre_owned,,,,2025-06-06.thorens-td-101a-turntable-with-audio-technica-cartridge-black-finish,false,,18b4d293-669c-4ac1-96d8-c691196d4fba,,,false,,899,"'Box, Packing, Manual, Accessories'",,,50,,"'The TD 101 A is available in the color ""black matt"".'","'Thorens TD-101A Turntable with Audio Technica Cartridge, Black Finish'",text,1749221106,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,539
,pre_owned,,,,2025-06-06.thorens-td-1601,false,,ebd3a488-3429-4c3d-89e4-e0fa42ee0e30,,,false,,4999,"'Box, Packing, Manual, Accessories'",false,,80,,"'Thorens precision tonearm TP 92 9“'","'Thorens TD-1601'",text,1749218401,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2999
,pre_owned,,,,2025-06-06.thorens-td-402dd-turntable-waudio-technica-cartridge-walnut-finish,false,,79ab6e90-c13f-4311-a02b-8d32edcc84ef,,,false,,999,"'Box, Packing, Manual, Accessories'",,,50,,"'Far from simple entry level standard Thorens TD 402 DD uses state of the art technology together with ease of use and perfect sound.'","'Thorens TD-402DD Turntable w/Audio Technica Cartridge, Walnut Finish'",text,1749221466,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,599
,pre_owned,,,,2025-06-06.thorens-td-403dd-wortofon-2m-blue-cartridge,false,,dd8cf680-2a88-4639-8f32-c5fa8d9cf064,,,false,,2099,"'Box, Packing, Manual, Accessories'",,,80,,"'The anti-skating is set by a sliding weight in the base of the arm, which is adjusted on a nylon thread guided over a ruby bearing.'","'Thorens TD-403DD w/Ortofon 2M Blue Cartridge'",text,1753977135,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1260
,pre_owned,,,,2025-06-12.vpi-aries-mki-wjmw10-tonearm-benz-micro-lps-cartridge-speed-controller,false,,11832fcf-742b-4b23-8bc0-1f908d03ad7b,,,false,,7890,"'Box, Packing, Manual, Accessories'",false,,250,,"'VPI Aries MkI w/JMW10 Tonearm, Benz Micro LPS Cartridge & Speed Controller. Table is in excellent physical and functional condition with all original boxes, packing and accessories. Table, arm, cartridge and speed controller sold as new for $7,890.00. Cartridge was recently re=tipped and has only 145 hours of usage since. '","'VPI Aries MkI w/JMW10 Tonearm, Benz Micro LPS Cartridge & Speed Controller'",bold,1750354267,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,3900
,pre_owned,,,,2025-06-12.vpi-classic-1-turntable-wupgraded-prime-gimbal-10-tonearm-grado-statement-3-cartridge,false,,3f353626-cef8-44d8-947a-bd60abebe371,,,true,,8550,None,,,,,"'VPI Classic 1 Turntable w/Upgraded Prime Gimbal 10 Tonearm & Grado Statement 3 Cartridge. Table is in excellent physical and functional condition and cartridge has relatively low hours of usage. The original uni-pivot arm was removed and replaced with a much higher performing gimbal arm. Record weight is included, but not pictured. Set-up sold as new for $8,550.00'","'VPI Classic 1 Turntable w/Upgraded Prime Gimbal 10 Tonearm & Grado Statement 3 Cartridge'",bold,1749752138,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2995
,pre_owned,,,,2025-06-13.msb-technology-reference-dac-wdigital-director,false,,98f2f9a3-9428-4e80-9c82-ea9a1afa5ea1,,,false,,58430,"'Box, Packing, Manual, Accessories'",,,200,,"'MSB Technology Reference DAC, silver finish. DAC includes Renderer (network) module, AES/EBU module & Quad Rate USB module as well as standard S/PDIF module. Units are all in excellent condition with original boxes, packing and accessories. The combined retail price for all items is $58,430.00'","'MSB Technology Reference DAC'",bold,1750884932,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,35058
,pre_owned,,,,2025-06-26.audeze-carbon-electrostatic-headphones,false,,9f9b9142-f2fc-4ed1-8834-a3955799180a,,,false,,4995,"'Box, Packing, Accessories'",,,60,,"'Audeze Carbon electrostatic headphones. Headphones are in very good functional condition and physically good as well - showing some scuffing around the gloss part of the earcups. Headphones sold as new for $4,995.00'","'Audeze Carbon Electrostatic Headphones'",bold,1750950500,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2250
,pre_owned,,,,2025-06-26.audeze-lcd-3-headphones,false,,7b036159-aaf2-40ae-b82b-6fade3ed05e5,,,false,,1945,"'Box, Packing, Accessories'",,,50,,"'Audeze LCD-3 planar magnetic headphones in excellent physical and functional condition with original case and accessories. Headphones sell as new for $1,945.00. One owner and smoke-free home.'","'Audeze LCD-3 Headphones'",bold,1750949406,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,975
,pre_owned,,,,2025-06-26.audeze-lcd-4-headphones,false,,eff8cee6-f009-4ddb-9ae0-6e40b7d2e68a,,,false,,3995,"'Box, Packing, Accessories'",false,,60,,"'Audeze LCD-4 headphones in excellent condition with original case and accessories. Headphones are from a one owner, smoke-free home and sold as new for $3,995.00'","'Audeze LCD-4 Headphones'",bold,1750949971,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1995
,pre_owned,,,,2025-06-26.audeze-lcd-xc-headphones,false,,1200c960-e3e5-49f7-a1d0-5ce044b32750,,,false,,1295,"'Box, Packing, Accessories'",,,50,,"'Audeze LCD-XC closed back headphones. Units are in excellent physical and functional condition - one owner and a smoke-free home. Original case and accessories included. Headphones sold as new for $1,295.00'","'Audeze LCD-XC Headphones'",bold,1750951081,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,650
,pre_owned,,,,2025-06-27.bat-vk-32se-tubed-stereo-preamplifier,false,,d3bdc8a9-d5af-47ef-ab0c-1f5d635f8ea4,,,false,,7495,"'Box, Packing, Manual, Accessories'",,,120,,"'BAT VK-32SE Tubed Stereo Preamplifier in excellent physical and functional condition with original box, packing and accessories - including remote. Unit sold as new for $7,495.00'","'BAT VK-32SE Tubed Stereo Preamplifier'",bold,1751056506,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2995
,pre_owned,,,,2025-06-27.dcs-puccini-sacdcd-playerdac,false,,5b303589-c111-4686-95ba-1fa1880ccb28,,,false,,17995,"'Remote, Power Cord'",,,120,,"'$17,999.'","'dCS Puccini SACD/CD Player/DAC'",text,1751048303,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,6995
,pre_owned,,,,2025-06-27.mark-levinson-no-36s-dac,false,,4141c74b-2bf5-4e91-aed6-3653ef00b571,,,false,,6495,None,,,80,,'2000',"'Mark Levinson No 36S DAC'",text,1751046806,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2295
,pre_owned,,,,2025-07-01.aerial-acoustics-20t-speakers-rosewood-finish,false,,fd2dd991-d338-4e51-85a8-1348ff29c934,,,false,,32000,"'Box, Packing, Accessories'",false,,800,,"'Aerial Acoustics 20T Speakers, Rosewood Finish. Speakers are in like-new finish with original boxes and packing. Speakers sold as new for $32,000.00. Tremendous sounding speakers that were the swan song from one of the audio industries great designers. '","'Aerial Acoustics 20T V2 Speakers, Rosewood Finish'",bold,1751390453,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,14995
,pre_owned,,,,2025-07-01.harbeth-302xd-speakers-tamo-ash-finish,false,,dcb61f5f-13da-422a-a3b2-790a94a206ef,,,false,,6000,"'Box, Packing'",false,,200,,"'Harbeth Monitor 30.2 XD in Tamo Ash finish. Speakers are in very good physical and functional condition with original boxes and packing. Speakers sold as new for $6,000.00'","'Harbeth 30.2XD Speakers, Tamo Ash Finish'",bold,1751388058,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2795
,pre_owned,,,,2025-07-02.1-pair-mcintosh-mc501-mono-amplifiers,false,,125ce0d6-363a-4545-beb3-de1b15c755f5,,,false,,8200,"'Box, Packing, Power Cord'",false,,400,,"'17.5"" W by 9.5"" H (including feet) by 14 7/8"" D (including front-panel knobs). Weight: 91.5 lbs. (41.6kg) net, 105.5 lbs. (48kg) shipping.'","'1 - Pair McIntosh MC501 Mono Amplifiers'",text,1751482971,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,4995
,pre_owned,,,,2025-07-16.pioneer-sx-1250-receiver,false,,14bafe06-4d33-4d2e-b95e-5b732a440ca2,,,true,,950,None,,,,,"'Pioneer SX-1250 Receiver. Unit is in good physical and functional condition with some scratches and scuff on the wooden casework and metal fins, which is typical for the age. Some of the controls are a bit noisy and could use a cleaning by a technician. This is a classic model and sought after on the used market. Typical selling range on this model is $2,000.00-$3,000.00 and significantly more for units that have been fully refurbished. '","'Pioneer SX-1250 Receiver'",text,1752697164,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1500
,pre_owned,,,,2025-07-29.audeze-deckard-headphone-amplifier,false,,7e52c4a8-daa4-4be6-b319-a36f8aa47133,,,false,,995,"'Box, Packing, Manual, Accessories'",,,40,,"""If music is an important part of your life you deserve to hear the real thing. The Deckard is a powerhouse of a headphone amplifier combined with a high-performance DAC. There’s a front panel volume control and switches to choose gain and input so you can use the Deckard as a great line-level preamp to drive your whole desktop system. The sound is exciting and dynamic with beautifully rendered tonal colors that make music come alive.\_The DAC section has impressive specs and handles 16 to 32-bits and 44.1kHz to 384kHz sampling rates. The Deckard features a single-ended class-A output stage with good damping characteristics to control the strong and tuneful bass. Its power handling capabilities at lower impedances is ideal for planar magnetic headphones, but It drives any headphone with power to spare.""","'Audeze Deckard Headphone Amplifier'",text,1753818705,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,495
,pre_owned,,,,2025-07-29.bryston-bha1-balanced-headphone-amplifier,false,,f7ac00af-a464-4a1f-9a64-c9869ea60e23,,,false,,1950,"'Box, Packing, Accessories'",,,60,,"'Bryston BHA-1 balanced headphone amplifier in silver finish. Unit is in very good physical and functional condition with original box, packing and accessories. Unit sold as new for $1,950.00'","'Bryston BHA1 Balanced Headphone Amplifier'",bold,1753819322,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,995
,pre_owned,,,,2025-07-29.simaudio-430had-headphone-amplifierdac,false,,2abcf8fa-ebae-4f69-9915-c338d8b3ffe4,,3,false,,4800,"'Box, Packing, Accessories'",,,80,,"'42.9 x 8.9 x 35.1 cm'","'Simaudio 430HAD Headphone Amplifier/DAC'",text,1753820320,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2400
,pre_owned,,,,2025-07-30.acoustic-signature-invictus-jr-wta9000-ta5000-tonearms,false,,bc605dec-fcc7-4d70-b602-e6ae92ebd54b,,,false,,115700,"'Box, Packing, Accessories'",,,600,,"""Acoustic Signature Invictus Jr. turntable with both a TA9000 and TA5000 tonearm. The table is in excellent condition with only one very minor nick showing. Original box, packing and accessories included. The table and arms sold as new for $115,700.00. World class sound and build quality that has the be seen to be appreciated. Outboard power supply and upgraded power cable included. Price includes on-site set-up by master technician ($3000.00-$5,000.00 value depending on location).\_""","'Acoustic Signature Invictus Jr. w/TA9000 & TA5000 Tonearms'",bold,1753885616,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,55000
,pre_owned,,,,2025-08-01.aurilac-aries-g1-music-streamer,false,,b7334521-3d17-4165-b5bc-5669703659c5,,,false,,2200,None,,,60,,"'Aurilac Aries G1 Music Streamer in good physical and functional condition. Unit sold as new for $2,200.00'","'Auralic Aries G1 Music Streamer'",bold,1754079613,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1000
