also_consider,attribution,attrs,available_for_demo,available_to_buy_online,blueprint,content,date_of_review,description,description_text,enabled,excerpt,featured_description,featured_in_product_category,filename,has_files,href,id,level,link,local_only,manufacturer,marks,monthly_feature,monthly_featuree,pairs_well_with,price,product-categories,product-category,product_hero_image,published,quote,quote_attribution,quote_text,reivews_set,rel,shipping,show_price,specs,specs_text,system_category,target,text,textAlign,title,type,updated_at,updated_by
,,,true,true,product,,,,,,,,,250i-v2,,,705207ef-c1b2-4581-a91d-d584b25fe66a,,,false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,2700,integrated-amplifiers,,250i_v2_Black_1370x590.png,,,,,,,80,true,,,amplification,,"'42.9 x 8.9 x 36.6 cm'",,"'250i V2'",text,1749149778,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Terry London'",,true,true,product,,'2020-06-22',,,true,,,,260d-cd-player,,'https://simaudio.com/en/product-category/digital-products/',l3szKbeq,,'https://hometheaterreview.com/simaudio-moon-neo-260d-cd/',false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,4000,cd-players,,260d_black_1370x590-1340x577.png,,"'A true high-performance, high-end, affordable digital product that meets current and future needs. The MOON 260D CD transport with optional 32-bit DAC is the next evolutionary step in combining high-performance, useful features, CD playback and music streaming all into one chassis.'",,"'A true high-performance, high-end, affordable digital product that meets current and future needs. The MOON 260D CD transport with optional 32-bit DAC is the next evolutionary step in combining high-performance, useful features, CD playback and music streaming all into one chassis.'",,,80,true,,,source,,"""Simaudio's Moon Neo 260D is very impressive in its performance, particularly in the areas of timbres/tonality, accurate soundstaging, and punchy powerful dynamics and bass extension. It is a good-looking piece of equipment that was enjoyable to use and is built to give its owner trouble-free use for a long time. If you still spin CDs, it provides a high-level transport for your collection, along with the ability to be driven by your computer or streamer. If you are looking for a DAC or CD player in this price range, I highly recommend you listen to the Moon Neo 260D before you purchase your next piece of equipment.""",,260D,hardBreak,1749146376,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Absolute Sound'",,true,true,product,,,,,true,,,,260d,,,c9RneSpM,,'https://www.theabsolutesound.com/articles/moon-neo-260d-transportdac/',false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,3100,cd-players,,260D_Black_1370x590.png,,"'The 260D continues a tradition of fine Simaudio CD players. Its naturalistic and musical sonic performance is mated with resilient build-quality and ergonomics.'","'Absolute Sound'","'The 260D continues a tradition of fine Simaudio CD players. Its naturalistic and musical sonic performance is mated with resilient build-quality and ergonomics.'",,,80,true,,,source,,"'The 260D continues a tradition of fine Simaudio CD players. Its naturalistic and musical sonic performance is mated with resilient build-quality and ergonomics.'",,260Dt,Review,1749146459,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Udey Reddy'",,true,true,product,,'2020-06-22',,,true,,,,280d-streaming-dac,,,ExBlZhUp,,'https://www.soundstagehifi.com/index.php/equipment-reviews/893-moon-by-simaudio-neo-280d-digital-to-analog-converter',false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,4400,dacs,,280d_black_1370x590-1340x577.png,,"'""a well-rounded DAC that handles all musical genres with finesse""'","'Uday Reddy, SoundStage HiFi'","'""a well-rounded DAC that handles all musical genres with finesse""'",,,100,true,,,source,,"""The Moon Neo\_280D is a well-rounded DAC that handles all musical genres with finesse, but if your tastes lean more toward rock’n’roll and fusion, the Neo\_280D may very well be the DAC for you. My default recommendation in this price range has been the Oppo HA-1, but the Neo\_280D should be right up there for those looking for other options in that price range or higher. As for that market sweet spot that Simaudio is aiming for? I’d say the Moon Neo\_280D is right on target.""",,280D,text,1749146342,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,false,product,,,,,,,,,2m-black,,,4071fad0-6353-4383-891f-b625e4108fbc,,,false,148f72bf-1180-478b-9a24-ebf04d94888d,,,,,719,phono-cartridges,,2m_black_verso_230pix.png,,,,,,,40,true,,,source,,"""Stylus protection guard 2M Black\_\_""",,"'2M Black'",text,1746199952,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,false,product,,,,,,,,,2m-blue,,,687abd4e-b2d4-42a1-bea5-0faf38c6894b,,,false,148f72bf-1180-478b-9a24-ebf04d94888d,,,,,239,phono-cartridges,,2m_blue1-300x221.jpg,,,,,,,,true,,,source,,"""Stylus protection guard 2M Blue\_\_""",,"'2M Blue'",text,1679420332,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,false,product,,,,,,,,,2m-bronze,,,50db09fa-db58-43ef-9cb1-a15f0f39f82e,,,false,148f72bf-1180-478b-9a24-ebf04d94888d,,,,,499,phono-cartridges,,2m_bronze_verso_230pix.png,,,,,,,,true,,,source,,"""Stylus protection guard 2M Bronze\_\_""",,"'2M Bronze'",text,1679420288,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,,,,,,,,,,,,2m-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HiFi+,,true,false,product,,,,,true,,,,3-7i,,,81dc1db6-3021-47d8-a6bd-3e3246817f1d,,'https://hifiplus.com/articles/magnepan-3-7i-planar-magnetic-ribbon-and-dwm-woofer-loudspeaker-system/',true,a1bc679d-2575-49b5-b383-070c024b598e,,,,,8795,speakers,,Mg_3.7_Pair_1800x1800.webp,,"'To my way of thinking, the 3.7i is easily one of the greatest performers I’ve yet heard in its price class—in large part because it does so many things right and so few things wrong'",HiFi+,"'To my way of thinking, the 3.7i is easily one of the greatest performers I’ve yet heard in its price class—in large part because it does so many things right and so few things wrong'",,,,true,,,speakers,,"'To my way of thinking, the 3.7i is easily one of the greatest performers I’ve yet heard in its price class—in large part because it does so many things right and so few things wrong. True, the 3.7i needs quite a bit of space and a lot of power to give of its best, but meet those requirements and the Maggies will serve up the sorts of rich, rare, and refined listening experiences typically associated with loudspeakers several times their price.'",,3.7i,Review,1695485034,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,380p-1-5m,,,70d9fcce-bcf2-47ba-800a-e87de4e4d446,,,false,483206e4-f3b8-4eb2-a0a6-d71b611590f6,,,,,1210,power-cables,,Artboard1_7724fb61-635e-49ff-91aa-6cdb4f8dcbc3_4000x@3x.progressive.webp,,,,,,,40,true,,,cables,,'2',,"'380P, 1.5M'",text,1698936766,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,641,,,a6b04ee0-2aee-4e9d-a078-7b8543ad4fab,,,false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,12500,integrated-amplifiers,,641-Front_1370x590px_OK.png,,,,,,,100,true,,,amplification,,"'–109 dB'",,'641',text,1749149370,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,680p-1-5m,,,b84a4888-9dff-4c71-a57b-cad0b6f02e83,,,false,483206e4-f3b8-4eb2-a0a6-d71b611590f6,,,,,1995,power-cables,,Artboard1_4bbc8e2a-5d1e-4891-9bec-bc8d55c37672_4000x@3x.progressive.webp,,,,,,,60,true,,,cables,,'2',,"'680P, 1.5M'",text,1698936927,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Absolute Sound'",,true,false,product,,,,,true,,,,7,,,47577004-a326-488a-9ef1-9d4df0e517b1,,'https://www.theabsolutesound.com/articles/magnepan-7-loudspeaker',true,a1bc679d-2575-49b5-b383-070c024b598e,,,,,1995,speakers,,Mg.7_Black-1_Pair_1800x1800-1652212988.webp,,"'At a tough-to-beat price point that would make even the thriftiest loudspeaker lovers open their wallets'","'Absolute Sound'","'At a tough-to-beat price point that would make even the thriftiest loudspeaker lovers open their wallets'",,,,true,,,speakers,,"""\_you consider these babies? They’re terrific.""",,'.7',Review,1722623485,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,761,,,512663fb-11ec-4e52-9687-4f5a3642f7db,,,false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,14000,power-amplifiers,,761-Front_1370x590px_OK.png,,,,,,,200,true,,,amplification,,"'2 Hz – 100 kHz (+0 dB / –3 dB)'",,'761',text,1683831698,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,791,,'https://simaudio.com/en/product/brm-1-intelligent-remote-control/',72be3bb2-5f9b-4709-96e8-cb5987a8c9f7,,,false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,16000,pre-amps,,791-Front_1370x590px_OK.png,,,,,,noopener,200,true,,,source,_blank,"'–125 dB'",,null,text,1683832594,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,861,,,c8762da6-9ef0-4c32-b946-35c0199830fd,,,false,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,22000,power-amplifiers,,861-Front_1370x590px_OK.png,,,,,,,400,true,,,amplification,,"'48.1 x 21 x 60.9 cm'",,'861',text,1683832009,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'What HiFi'",,true,true,product,,'2020-07-24',,,true,,,,866-integrated-amp-digital,,,ApTMm2Ug,,'https://www.whathifi.com/us/reviews/boulder-866-integrated',false,cad1d45b-6c89-4812-a990-fdab9e473e07,,,,,17500,integrated-amplifiers,,866-front-on-surface-roon-1200x800-1595607112.jpg,,,,,,,200,true,,,amplification,,"""Considering how much of an improvement the 866 offers over the 865, Boulder could be charging much more for the privilege. Not only does it sound better, but it's more powerful, stylish and affordable than its predecessor, and with the option to add a DAC, this is a real winner.""",,'866',text,1749150506,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,880p-1-5m,,,a21e5ccb-8c81-45b9-9c6b-25a7a4faacfa,,,false,483206e4-f3b8-4eb2-a0a6-d71b611590f6,,,,,2640,power-cables,,Artboard1_6ba78d4c-3320-4184-8d13-84133d2c622e_1920x.webp,,,,,,,60,true,,,cables,,'2',,"'880P, 1.5M'",text,1698937063,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,,,product,,,,,,,,,aacento,,,7d5b7dc7-2eec-456d-88dd-6ff66dbc5394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"'Absolute Sound'",,true,true,product,,,,,true,,,,absolute-dac-meta,,,md97evy2,,'https://www.theabsolutesound.com/articles/ideon-audio-absolute-epsilon-dac-absolute-stream-streamer-and-absolute-time-master-clock/',false,96bb6745-26dc-4dfa-a891-87869d6fd27b,,,,,49900,dacs,,dsc_0125b.png,,"'“…The Absolute Epsilon DAC is in the upper echelon of today’s best digital playback. The trio has some remarkable musical attributes, including stunningly lifelike reproduction of music’s dynamics. The sense of immediacy and presence—the impression of nothing between you and the music—was equally impressive.”'","'Absolute Sound'","'“…The Absolute Epsilon DAC is in the upper echelon of today’s best digital playback. The trio has some remarkable musical attributes, including stunningly lifelike reproduction of music’s dynamics. The sense of immediacy and presence—the impression of nothing between you and the music—was equally impressive.”'",,,200,true,,,source,,"'“…The Absolute Epsilon DAC, Absolute Stream music server, and Absolute Time master clock are in the upper echelon of today’s best digital playback. The trio has some remarkable musical attributes, including stunningly lifelike reproduction of music’s dynamics. The sense of immediacy and presence—the impression of nothing between you and the music—was equally impressive.”'",,"'Absolute DAC Meta'",Review,1752866639,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,false,true,product,,,,,,,,,absolute-stream-meta,,,6c1bf844-fa91-4d43-9c54-21918dbde6c6,2,,false,96bb6745-26dc-4dfa-a891-87869d6fd27b,,,,,22000,server-streaming,,dsc_0150.png,,,,,,,200,true,,,source,,"'WEIGHT:22kg (~ 48.5 lbs.)'",,"'Absolute Stream Meta'",text,1752939833,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,absolute-time,,,2c7ede96-7c21-4514-806e-e0b3a642f777,2,,false,96bb6745-26dc-4dfa-a891-87869d6fd27b,,,,,11000,dacs,,sig-re1.png,,,,,,,200,true,,,source,,"'FINISH: Anodized aluminum, silver/black + additional options upon request'",,"'Absolute Time'",text,1752942856,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,alpha-speaker-cable-2-5-meter,,,5d195eeb-bb3a-4cc4-93c6-8e0612ddf020,'3',,false,5815c329-d4fc-4b36-b4ca-1eeaffa54f39,,,,,6000,speaker-cables,,sp_alpha_x_body_1.jpg,,,,,,,100,true,,,cables,,"'HiPOT tests insulation breakdown @ 1,200 VAC'",,"""Alpha-X, 8'""",text,1751486655,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,alpha-v2-nr-1-75m,,,fa8165a5-65d1-431a-aa4f-286bb4550e5e,3,,false,5815c329-d4fc-4b36-b4ca-1eeaffa54f39,,,,,2850,power-cables,,shunyata_alpha_x.jpg,,,,,,,60,true,,,cables,,"'Noise reduction: >12 dB @ 1MHz'",,"'Alpha-X NR, 1.75M'",text,1743262043,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,alpha-v2-rca-interconnects-1-meter,,,39954c2a-cfc8-4318-badb-0865a7c52f38,3,,false,5815c329-d4fc-4b36-b4ca-1eeaffa54f39,,,,,3000,interconnects,,yxtd-fha-scaled.webp,,,,,,,60,true,,,cables,,"'HiPOT tests insulation breakdown @ 1,200 VAC'",,"'Alpha-X, 1M, XLR'",text,1751472927,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,alpha-wave,,,ea770c54-309c-41fd-ba3e-7ee6e16abb72,2,,false,96bb6745-26dc-4dfa-a891-87869d6fd27b,,,,,6900,dacs,,dsc_1330.png,,,,,,,100,true,,,source,,"'APPLICATION: LAN switch or Router to PC, or Streamer / Music Server'",,"'Alpha Wave'",text,1752943255,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,alumine-2-5,,,5e8f0ba3-8ec2-46f5-becd-2b05f20cfacb,,,false,3228dafc-d0a0-4f28-9b8d-79d5671f37bd,,,,,23500,speakers,,MECH-A25-A003-V0.2_-_Enceinte_Paire_mocha_-_300dpi_3dedf0fd-d716-4cec-b2ee-37231b17298d.webp,,,,,,,600,true,,,speakers,,"' : 5 years'",,"'Alumine 2.5'",text,1708787290,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,,,,,,,,,,,,alumine-five-speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,alumine-three-speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,alumine-two-speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"'Simon Lucas'",,true,true,product,,'2020-07-24',,,true,,,,alva-duo-phono-preamp,,,0d74af8c-6f01-4a64-b7f9-6e4976407cb5,,'https://www.trustedreviews.com/reviews/cambridge-audio-duo',false,c6c9a7b2-9411-4aef-9327-2da9347a5437,,,,,349,phonostage,,duo_main.jpg,,,,,,,25,true,,,source,,"""A broad range of talents makes the Alva Duo a good choice for a number of systems.\_""",,Duo,hard_break,1651761158,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,alva-solo-phone-preamp,,,22aa3196-fe98-4ccc-9f71-1ffc011c3553,,,false,c6c9a7b2-9411-4aef-9327-2da9347a5437,,,,,229,phonostage,,solo_main.jpg,,,,,,,25,true,,,source,,"'WEIGHT: 0.68kg/1.5lbs'",,Solo,hard_break,1651761131,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Hi-Fi +'",,true,true,product,,'2018-10-31',,,true,,,,amati-tradition,,,Gvjtm5tZ,'4','http://www.hifiplus.com/articles/sonus-faber-amati-homage-tradition-floorstanding-loudspeaker/',false,5dbba480-954d-4ffe-9bac-7cf8d2a8359f,,,,,43000,speakers,,amati_red.jpg,,"'Don’t underestimate the Amati Homage Tradition. It is not the Sonus Faber of even 10 years ago. This is a Sonus Faber that combines the best of the past with the clarity and energy of the present.'","'Hi-Fi +'","'Don’t underestimate the Amati Homage Tradition. It is not the Sonus Faber of even 10 years ago. This is a Sonus Faber that combines the best of the past with the clarity and energy of the present.'",,,600,true,,,speakers,,"""Don’t underestimate the Amati Homage Tradition. It is not the Sonus faber of even 10 years ago. This is a Sonus faber that combines the best of the past with the clarity and energy of the present. And yet, it’s not a forward sound... it’s just a ‘right’ sound. If you are the kind of person who thinks Sonus faber is all about the looks and not so much about the sound, then the Amati Homage Tradition will be something of a wake-up call. Don’t be surprised if you end up thinking it’s one of the best speakers on sale right now!\_\_""",,"'Amati G5'",text,1753280828,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,,,,,,,,,,,,amethyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,true,true,product,,,,,,,,,amp-f2,,,c89f1c26-de97-4291-83ce-a6347e14e434,,,false,c3bdaed2-8cf8-4152-b875-a9d46432ba6f,,,,,799,power-amplifiers,,download-1707517771.jpg,,,,,,,50,true,,,amplification,,"'Weight: 3.65 kg'",,AMP-F2,text,1707518103,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,'2021-07-16',,,true,,,,ania-pro,,,cc8e730e-1163-4b44-a8eb-405e7b555171,'3',,false,721789d8-be8d-44cc-9c35-a5c8b27ddb09,,,,,1225,phono-cartridges,,ania_pro_intro.png,,"'I was taken by the sense of strong and steady imaging, the sheer power of Young’s acoustic guitar and the forceful expression of his vocals'","'Hi-Fi World'","'I was taken by the sense of strong and steady imaging, the sheer power of Young’s acoustic guitar and the forceful expression of his vocals'",,,30,true,,,source,,"'6 g'",,"'Ania Pro'",Review,1679419515,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Hi-Fi Choice'",,true,true,product,,'2020-06-12',,,true,,,,ania,,,e5e9027f-6458-42e6-bf8e-684dfdb684bc,,'http://www.rega.co.uk/uploads/hfc-426-rega-mc-reprint-low.pdf',false,721789d8-be8d-44cc-9c35-a5c8b27ddb09,,,,,895,phono-cartridges,,rega-ania.jpg,,|-,"'Hi-Fi Choice'",|-,,,30,true,,,source,,|-,,Ania,text,1679419482,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Werner Ero, hifi.nl'",,true,true,product,,'2020-06-22',,,true,,,,another-msb-dac,,,28bc46cc-646b-4b5e-b8c0-5a38e8d5e90b,,'https://hifi.nl/artikel/28340/Review-MSB-Technology-Discrete-DAC-met-alle-opties.html?fbclid=IwAR1JxBuyhk1-PstMD7cGngTl_qOrSE0X0eE7PgNz0pBpwmbnHx9pKhEsmn0',false,1c11d0b2-7e5d-4d06-903b-83261879fb1d,,true,,,12500,dacs,product-categories/dacs,white-discrete-dac-front-900px-1.jpg,,"'Discrete is a genuine high fidelity DAC and a fabulously built one to boot, add in the modular input flexibility and you have a pretty stunning product with excellent future proofing.'",ear,"'Discrete is a genuine high fidelity DAC and a fabulously built one to boot, add in the modular input flexibility and you have a pretty stunning product with excellent future proofing.'",,,80,true,,,source,,"""The first three letters of this 25-year-old family business stand for 'Most Significant Bit' and how well this name fits with their products is proven by the now legendary MSB Reference and Select D / A converters.\_Truly beautiful machines that have moved the state-of-the-art a lot further, but are also extremely expensive.\_To accommodate the less wealthy music lover while retaining many of these qualities, MSB has released the Discrete DAC.""",,"'Discrete DAC'",text,1679064130,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,apheta-3,,,63b2248a-1edc-46d2-9136-c816e923c75f,'3',,false,721789d8-be8d-44cc-9c35-a5c8b27ddb09,,,,,2245,phono-cartridges,,apheta_3_intro.jpg,,,,,,,30,true,,,source,,"'6 g'",,"'Apheta 3'",text,1679419546,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,ascent,,,5f4a4599-9052-47c5-94e7-f5c9f221c9a7,,,false,ccbe2ee8-656d-493e-87ef-efeaf1dd41e5,,,,,19800,speakers,,ascent-gallery.jpg,,,,,,,500,true,,,speakers,,"'54kg each'",,Ascent,text,1659191901,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'What HiFi'",,true,true,product,,,,,true,,,,atalante-3-w-stands,,,Fe3EpmR1,,'https://www.whathifi.com/reviews/revival-audio-atalante-3',false,109ca9c7-24bb-4bcc-ad6a-a632714c898d,,,,,3390,speakers,,ATALANTE-8488-533x800.jpg,,"'Darn these Atalante 3s: they were showing us things our usual reference speakers don’t do.'","'What HiFi'","'Darn these Atalante 3s: they were showing us things our usual reference speakers don’t do.'",,,150,true,,,speakers,,"'Darn these Atalante 3s: they were showing us things our usual reference speakers don’t do.'",,"'Atalante 3 w/Stands'",Review,1743521315,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
